iter	Passed	Remaining
611	864	547
612	866	547
613	868	546
614	870	545
615	872	543
616	874	542
617	876	541
618	877	540
619	879	539
620	881	537
621	883	536
622	884	535
623	886	534
624	888	532
625	889	531
626	891	530
627	892	528
628	894	527
629	896	526
630	898	525
631	899	523
632	901	522
633	902	521
634	904	519
635	905	518
636	907	516
637	908	515
638	911	514
639	913	513
640	914	512
641	916	511
642	918	509
643	919	508
644	921	507
645	922	505
646	924	504
647	926	503
648	928	501
649	929	500
650	931	499
651	933	498
652	935	496
653	936	495
654	938	494
655	940	493
656	942	492
657	943	490
658	945	489
659	946	487
660	948	486
661	950	485
662	952	484
663	954	482
664	956	481
665	957	480
666	959	479
667	961	477
668	963	476
669	964	475
670	966	474
671	968	472
672	971	471
673	972	470
674	975	469
675	976	468
676	978	466
677	980	465
678	982	464
679	984	463
680	986	461
681	987	460
682	989	459
683	991	457
684	993	456
685	994	455
686	996	454
687	998	453
688	1001	451
689	1003	450
690	1004	449
691	1006	447
692	1007	446
693	1009	445
694	1011	443
695	1013	442
696	1015	441
697	1016	439
698	1018	438
699	1020	437
700	1021	435
701	1023	434
702	1025	433
703	1027	431
704	1029	430
705	1030	429
706	1032	427
707	1034	426
708	1035	425
709	1037	423
710	1039	422
711	1041	421
712	1043	420
713	1045	418
714	1047	417
715	1049	416
716	1052	415
717	1053	413
718	1055	412
719	1057	411
720	1059	409
721	1061	408
722	1063	407
723	1065	405
724	1066	404
725	1068	403
726	1070	402
727	1072	400
728	1074	399
729	1076	398
730	1078	396
731	1080	395
732	1082	394
733	1084	393
734	1086	391
735	1088	390
736	1090	389
737	1091	387
738	1093	386
739	1095	384
740	1097	383
741	1099	382
742	1101	381
743	1103	379
744	1105	378
745	1106	376
746	1108	375
747	1109	373
748	1111	372
749	1113	371
750	1116	370
751	1117	368
752	1120	367
753	1121	365
754	1123	364
755	1125	363
756	1127	361
757	1129	360
758	1131	359
759	1132	357
760	1134	356
761	1136	354
762	1138	353
763	1140	352
764	1142	350
765	1144	349
766	1145	348
767	1147	346
768	1149	345
769	1150	343
770	1152	342
771	1154	341
772	1157	339
773	1159	338
774	1161	337
775	1162	335
776	1164	334
777	1165	332
778	1167	331
779	1169	329
780	1171	328
781	1172	326
782	1174	325
783	1176	324
784	1177	322
785	1179	321
786	1181	319
787	1182	318
788	1184	316
789	1186	315
790	1188	314
791	1190	312
792	1192	311
793	1194	309
794	1196	308
795	1198	307
796	1200	305
797	1202	304
798	1205	303
799	1207	301
800	1208	300
801	1210	298
802	1211	297
803	1213	295
804	1215	294
805	1217	293
806	1219	291
807	1220	290
808	1222	288
809	1223	287
810	1225	285
811	1227	284
812	1229	282
813	1231	281
814	1233	279
815	1234	278
816	1236	276
817	1238	275
818	1240	274
819	1241	272
820	1243	271
821	1245	269
822	1247	268
823	1249	266
824	1250	265
825	1252	263
826	1254	262
827	1256	260
828	1257	259
829	1260	258
830	1262	256
831	1263	255
832	1265	253
833	1267	252
834	1269	250
835	1271	249
836	1273	247
837	1276	246
838	1278	245
839	1280	243
840	1282	242
841	1283	240
842	1285	239
843	1287	237
844	1289	236
845	1291	235
846	1293	233
847	1294	232
848	1296	230
849	1298	229
850	1300	227
851	1302	226
852	1304	224
853	1306	223
854	1308	221
855	1310	220
856	1312	218
857	1313	217
858	1315	215
859	1317	214
860	1319	212
861	1320	211
862	1322	209
863	1324	208
864	1325	206
865	1327	205
866	1328	203
867	1330	202
868	1332	200
869	1334	199
870	1336	197
871	1337	196
872	1339	194
873	1341	193
874	1342	191
875	1344	190
876	1346	188
877	1347	187
878	1349	185
879	1351	184
880	1352	182
881	1354	181
882	1356	179
883	1357	178
884	1359	176
885	1361	175
886	1363	173
887	1365	172
888	1366	170
889	1368	169
890	1370	167
891	1372	166
892	1373	164
893	1375	163
894	1377	161
895	1379	160
896	1381	158
897	1382	157
898	1384	155
899	1386	154
900	1388	152
901	1390	151
902	1392	149
903	1394	148
904	1395	146
905	1397	145
906	1399	143
907	1400	141
908	1402	140
909	1404	138
910	1406	137
911	1408	135
912	1410	134
913	1411	132
914	1413	131
915	1415	129
916	1417	128
917	1419	126
918	1421	125
919	1423	123
920	1424	122
921	1426	120
922	1428	119
923	1430	117
924	1432	116
925	1434	114
926	1436	113
927	1438	111
928	1440	110
929	1442	108
930	1444	107
931	1446	105
932	1447	103
933	1450	102
934	1452	100
935	1454	99
936	1456	97
937	1458	96
938	1460	94
939	1462	93
940	1464	91
941	1466	90
942	1468	88
943	1470	87
944	1472	85
945	1474	84
946	1476	82
947	1478	81
948	1480	79
949	1482	78
950	1484	76
951	1486	74
952	1488	73
953	1490	71
954	1497	70
955	1500	69
956	1503	67
957	1505	66
958	1508	64
959	1510	62
960	1513	61
961	1515	59
962	1517	58
963	1520	56
964	1522	55
965	1524	53
966	1526	52
967	1528	50
968	1530	48
969	1532	47
970	1535	45
971	1537	44
972	1538	42
973	1541	41
974	1545	39
975	1547	38
976	1549	36
977	1552	34
978	1553	33
979	1554	31
980	1555	30
981	1557	28
982	1558	26
983	1560	25
984	1561	23
985	1563	22
986	1566	20
987	1567	19
988	1569	17
989	1570	15
990	1572	14
991	1573	12
992	1575	11
993	1577	9
994	1579	7
995	1580	6
996	1581	4
997	1582	3
998	1583	1
999	1584	0
